nev,utca,telefon,terulet,ar1,ar2,ido2,ido1,url
P+R Reumannplatz,Rotenhofgasse 2A,+43 1 602 11 41,"Wien, Wien 1100, AT",€1.80,€12.60,1 Day,Each Hour,https://www.parkme.com//lot/111783
Parkgarage Cobdengasse,Cobdengasse 2,+43 1 212 59 59 419,"Wien, Wien 1010, AT",€4,€40,Daily Max,Each Hour,https://www.parkme.com//lot/111803
